System	Component_ID	Component_Name	Component_Type	Sends_Data_To	Handles_PHI	Is_External	Has_BAC_Contract	Has_Encryption	Has_AuditLog	Notes	Violation_Expected	Extraction_Status
Telemedicine Platform	TP-01	Patient Mobile App	Service	TP-02	Yes	No	N/A	Yes	Yes	Collects patient symptoms and personal information (contains PHI)	No	Completed
Telemedicine Platform	TP-02	API Gateway	API	TP-03,TP-04,TP-10	Yes	No	N/A	Yes	Yes	Routes patient requests and consultation data (contains PHI)	No	Completed
Telemedicine Platform	TP-03	Auth Service	Service	TP-05	No	No	N/A	N/A	N/A	Handles authentication tokens only (no PHI stored)	No	Completed
Telemedicine Platform	TP-04	Consultation Service	Service	TP-05,TP-06,TP-08	Yes	No	N/A	Yes	Yes	Processes consultation notes and patient interaction data (contains PHI)	No	Completed
Telemedicine Platform	TP-05	Patient Records DB	Database	TP-04,TP-07	Yes	No	N/A	Yes	No	Stores patient medical history and prescriptions (contains PHI)	Yes	Completed
Telemedicine Platform	TP-06	Video Streaming Server	Service	TP-09	Yes	No	N/A	No	Yes	Streams live consultation video containing PHI to external provider	Yes	Completed
Telemedicine Platform	TP-07	Internal Analytics	Service	TP-11	Yes	No	N/A	Yes	Yes	Processes identifiable consultation analytics and sends PHI to external analytics system	Yes	Completed
Telemedicine Platform	TP-08	Prescription Service	Service	TP-05	Yes	No	N/A	Yes	Yes	Generates and stores prescriptions (contains PHI)	No	Completed
Telemedicine Platform	TP-09	External Video CDN	External		Yes	Yes	No	No	No	Third-party video infrastructure receiving PHI streams	Yes	Completed
Telemedicine Platform	TP-10	Notification Service	Service	TP-12	Yes	No	N/A	No	Yes	Sends appointment notifications containing PHI to external messaging service	Yes	Completed
Telemedicine Platform	TP-11	External Analytics SaaS	External		Yes	Yes	No	No	No	External analytics platform receiving PHI data	Yes	Completed
Telemedicine Platform	TP-12	External SMS Gateway	External		Yes	Yes	No	No	No	External messaging provider receiving PHI in notifications	Yes	Completed
Appointment Booking System	AB-01	Web Booking Portal	Service	AB-02	Yes	No	N/A	Yes	Yes	Collects patient identity and appointment data (contains PHI)	No	Completed
Appointment Booking System	AB-02	Booking API	API	AB-03,AB-04,AB-10	Yes	No	N/A	Yes	Yes	Processes booking requests and patient data (contains PHI)	No	Completed
Appointment Booking System	AB-03	Scheduling Engine	Service	AB-05	Yes	No	N/A	Yes	Yes	Matches doctors with patient appointments (contains PHI)	No	Completed
Appointment Booking System	AB-04	Auth Service	Service	AB-06	No	No	N/A	N/A	N/A	Handles login and session management (no PHI stored)	No	Completed
Appointment Booking System	AB-05	Appointment DB	Database	AB-07	Yes	No	N/A	Yes	No	Stores appointment records and patient identifiers (contains PHI)	Yes	Completed
Appointment Booking System	AB-06	User DB	Database		Yes	No	N/A	Yes	Yes	Stores patient identity profiles (contains PHI)	No	Completed
Appointment Booking System	AB-07	Reminder Service	Service	AB-11	Yes	No	N/A	No	No	Sends appointment reminders containing PHI to external email provider	Yes	Completed
Appointment Booking System	AB-08	Admin Dashboard API	API	AB-05	Yes	No	N/A	Yes	Yes	Allows staff to manage bookings and patient data (contains PHI)	No	Completed
Appointment Booking System	AB-09	Audit Log Storage	Storage		No	No	N/A	N/A	N/A	Stores system logs without PHI	No	Completed
Appointment Booking System	AB-10	Analytics Processor	Service	AB-12	Yes	No	N/A	No	No	Processes identifiable booking analytics and sends PHI to external BI system	Yes	Completed
Appointment Booking System	AB-11	External Email Service	External		Yes	Yes	No	No	No	External email provider receiving PHI in reminders	Yes	Completed
Appointment Booking System	AB-12	External BI Tool	External		Yes	Yes	Yes	Yes	Yes	External analytics tool receiving identifiable PHI data	No	Completed
Lab Results Portal	LR-01	Patient Portal Web	Service	LR-02	Yes	No	N/A	Yes	Yes	Allows patients to view lab reports and identity data (contains PHI)	No	Completed
Lab Results Portal	LR-02	API Gateway	API	LR-03,LR-04,LR-08	Yes	No	N/A	Yes	Yes	Routes lab result and patient requests (contains PHI)	No	Completed
Lab Results Portal	LR-03	Lab Results Service	Service	LR-05,LR-09,LR-10	Yes	No	N/A	Yes	Yes	Processes diagnostic results and sends identifiable PHI to external analytics	Yes	Completed
Lab Results Portal	LR-04	Auth Service	Service	LR-06	No	No	N/A	N/A	N/A	Handles authentication tokens only (no PHI stored)	No	Completed
Lab Results Portal	LR-05	Lab Results DB	Database	LR-03,LR-07	Yes	No	N/A	Yes	No	Stores diagnostic reports and patient identifiers (contains PHI)	Yes	Completed
Lab Results Portal	LR-06	Identity Storage	Database		Yes	No	N/A	Yes	Yes	Stores patient identity information (contains PHI)	No	Completed
Lab Results Portal	LR-07	Report Generator	Service	LR-08,LR-10	Yes	No	N/A	No	Yes	Generates lab reports and sends PHI copies to external cloud storage	Yes	Completed
Lab Results Portal	LR-08	Internal File Storage	Storage	LR-01	Yes	No	N/A	Yes	Yes	Stores generated lab reports internally (contains PHI)	No	Completed
